epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,73480.2,1.14374,1.08271,1.15918,0.70812,0.53183,0.59987,0.4258,1.08664,0.90495,1.11164,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,74633.8,1.14141,1.07946,1.15743,0.7038,0.53179,0.59981,0.42609,1.08593,0.90352,1.11105,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,75767.3,1.14073,1.07818,1.15664,0.70263,0.53398,0.60003,0.42618,1.08561,0.90243,1.11059,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,76893.7,1.13563,1.0739,1.1558,0.70283,0.53535,0.59983,0.42583,1.08474,0.90043,1.10983,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,78026.6,1.13734,1.07242,1.15466,0.70512,0.53858,0.60009,0.4258,1.08432,0.89923,1.10984,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,79153.2,1.13439,1.07065,1.15537,0.71677,0.53753,0.60003,0.42615,1.0841,0.89929,1.1098,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,80312.6,1.13364,1.06859,1.154,0.72353,0.53401,0.60157,0.42549,1.08365,0.89876,1.10932,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,81432.3,1.12856,1.06221,1.15189,0.72912,0.53467,0.60082,0.42601,1.08249,0.89716,1.10863,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,82563.8,1.12846,1.06044,1.1516,0.7289,0.53211,0.60095,0.42676,1.08216,0.89547,1.10818,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,83696.1,1.12886,1.05925,1.14887,0.72332,0.5335,0.6013,0.42675,1.08117,0.8945,1.10698,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,84964.4,1.12475,1.05226,1.14811,0.72651,0.53472,0.60182,0.42812,1.08077,0.8943,1.10654,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,86087.3,1.12469,1.05289,1.14775,0.72704,0.5336,0.60297,0.42871,1.0802,0.89355,1.10586,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,87208.4,1.12005,1.04746,1.14575,0.72907,0.5333,0.60322,0.42965,1.07891,0.89143,1.10464,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,88325.2,1.11968,1.04829,1.14449,0.72291,0.53088,0.60308,0.42924,1.07926,0.8908,1.1043,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,89429.1,1.11723,1.04033,1.14235,0.72392,0.53288,0.60259,0.42919,1.07811,0.89004,1.10317,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,90586.1,1.11414,1.03693,1.14118,0.7119,0.53791,0.60336,0.4299,1.07661,0.88946,1.10201,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,91772.9,1.11427,1.03673,1.14176,0.71291,0.5374,0.60403,0.42999,1.07457,0.8879,1.10049,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,93962.2,1.11028,1.03103,1.13905,0.7038,0.54316,0.60447,0.42938,1.0741,0.88649,1.10052,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,95152.3,1.1071,1.02802,1.13849,0.70594,0.5404,0.60499,0.42958,1.07324,0.88563,1.10001,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
